%Cpu:  5.6 us,  0.9 sy,  0.0 ni, 93.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
  53565 eunji     20   0   39.7g  11.8g 809992 S  28.7  37.7   0:29.47 python
%Cpu:  6.0 us,  4.9 sy,  0.0 ni, 89.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
  53565 eunji     20   0   39.7g   3.8g 809992 S  84.5  12.0   0:30.34 python
%Cpu:  7.2 us,  1.0 sy,  0.0 ni, 91.7 id,  0.2 wa,  0.0 hi,  0.0 si,  0.0 st 
  53565 eunji     20   0   39.7g   3.7g 809992 S   1.0  12.0   0:30.35 python
%Cpu:  8.8 us,  1.2 sy,  0.0 ni, 89.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
  53565 eunji     20   0   43.5g   4.5g 908192 S  76.2  14.6   0:31.12 python
%Cpu:  7.3 us,  1.2 sy,  0.0 ni, 91.3 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st 
  53565 eunji     20   0   43.5g   5.6g   1.0g S 100.0  18.0   0:32.13 python
%Cpu:  6.8 us,  1.3 sy,  0.0 ni, 91.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
  53565 eunji     20   0   46.0g   6.7g   1.1g S 103.0  21.5   0:33.16 python
%Cpu:  6.5 us,  1.4 sy,  0.0 ni, 92.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
  53565 eunji     20   0   46.0g   7.8g   1.2g S 100.0  24.9   0:34.17 python
%Cpu:  6.5 us,  1.3 sy,  0.0 ni, 92.0 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st 
  53565 eunji     20   0   46.0g   8.9g   1.4g S 100.0  28.4   0:35.18 python
%Cpu:  7.9 us,  1.2 sy,  0.0 ni, 90.8 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st 
  53565 eunji     20   0   46.0g  10.0g   1.5g S 102.0  31.9   0:36.20 python
%Cpu:  7.0 us,  1.2 sy,  0.0 ni, 91.6 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st 
  53565 eunji     20   0   49.0g  11.1g   1.6g S 102.0  35.4   0:37.23 python
%Cpu:  8.7 us,  1.2 sy,  0.0 ni, 90.0 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st 
  53565 eunji     20   0   49.0g  12.1g   1.7g S  99.0  38.9   0:38.23 python
%Cpu:  8.2 us,  1.3 sy,  0.0 ni, 90.4 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st 
  53565 eunji     20   0   52.0g  13.2g   1.9g S 102.1  42.2   0:39.21 python
%Cpu: 15.2 us,  3.0 sy,  0.0 ni, 81.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
  53565 eunji     20   0   52.0g  13.2g   1.9g S 100.0  42.3   0:39.24 python
%Cpu: 11.8 us,  2.9 sy,  0.0 ni, 85.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
  53565 eunji     20   0   52.0g  13.2g   1.9g S 133.3  42.5   0:39.28 python
%Cpu: 13.8 us,  3.4 sy,  0.0 ni, 79.3 id,  3.4 wa,  0.0 hi,  0.0 si,  0.0 st 
  53565 eunji     20   0   52.0g  13.3g   1.9g S  50.0  42.5   0:39.29 python
%Cpu: 36.8 us,  2.6 sy,  0.0 ni, 60.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
  53565 eunji     20   0   52.0g  13.3g   1.9g S 100.0  42.6   0:39.32 python
%Cpu: 23.8 us,  2.4 sy,  0.0 ni, 73.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
