timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/12/18 20:38:40.524, NVIDIA GeForce RTX 3080, 99 %, 86 %, 3015 MiB, 10240 MiB, 49, 312.26 W
2025/12/18 20:38:41.524, NVIDIA GeForce RTX 3080, 97 %, 82 %, 3026 MiB, 10240 MiB, 49, 309.36 W
2025/12/18 20:38:42.525, NVIDIA GeForce RTX 3080, 100 %, 83 %, 3033 MiB, 10240 MiB, 49, 305.72 W
2025/12/18 20:38:43.525, NVIDIA GeForce RTX 3080, 99 %, 87 %, 3030 MiB, 10240 MiB, 50, 308.97 W
2025/12/18 20:38:44.525, NVIDIA GeForce RTX 3080, 98 %, 83 %, 3024 MiB, 10240 MiB, 50, 309.91 W
2025/12/18 20:38:45.525, NVIDIA GeForce RTX 3080, 98 %, 82 %, 3024 MiB, 10240 MiB, 51, 309.96 W
2025/12/18 20:38:46.525, NVIDIA GeForce RTX 3080, 99 %, 88 %, 3024 MiB, 10240 MiB, 51, 312.52 W
2025/12/18 20:38:47.525, NVIDIA GeForce RTX 3080, 99 %, 84 %, 3000 MiB, 10240 MiB, 52, 310.41 W
2025/12/18 20:38:48.525, NVIDIA GeForce RTX 3080, 99 %, 86 %, 3017 MiB, 10240 MiB, 52, 308.95 W
2025/12/18 20:38:49.526, NVIDIA GeForce RTX 3080, 98 %, 84 %, 3021 MiB, 10240 MiB, 52, 308.85 W
2025/12/18 20:38:50.526, NVIDIA GeForce RTX 3080, 97 %, 83 %, 3021 MiB, 10240 MiB, 53, 308.45 W
2025/12/18 20:38:51.526, NVIDIA GeForce RTX 3080, 97 %, 84 %, 3022 MiB, 10240 MiB, 53, 308.24 W
2025/12/18 20:38:52.526, NVIDIA GeForce RTX 3080, 98 %, 86 %, 3022 MiB, 10240 MiB, 53, 310.40 W
2025/12/18 20:38:53.526, NVIDIA GeForce RTX 3080, 98 %, 86 %, 3021 MiB, 10240 MiB, 54, 310.86 W
2025/12/18 20:38:54.526, NVIDIA GeForce RTX 3080, 98 %, 84 %, 3015 MiB, 10240 MiB, 54, 310.94 W
2025/12/18 20:38:55.526, NVIDIA GeForce RTX 3080, 99 %, 89 %, 3014 MiB, 10240 MiB, 55, 309.11 W
2025/12/18 20:38:56.526, NVIDIA GeForce RTX 3080, 98 %, 85 %, 3028 MiB, 10240 MiB, 55, 309.88 W
2025/12/18 20:38:57.527, NVIDIA GeForce RTX 3080, 99 %, 86 %, 3028 MiB, 10240 MiB, 55, 308.50 W
2025/12/18 20:38:58.527, NVIDIA GeForce RTX 3080, 99 %, 85 %, 3026 MiB, 10240 MiB, 55, 311.91 W
2025/12/18 20:38:59.527, NVIDIA GeForce RTX 3080, 98 %, 84 %, 3020 MiB, 10240 MiB, 56, 310.28 W
2025/12/18 20:39:00.527, NVIDIA GeForce RTX 3080, 98 %, 85 %, 3016 MiB, 10240 MiB, 56, 311.08 W
2025/12/18 20:39:01.527, NVIDIA GeForce RTX 3080, 98 %, 86 %, 2985 MiB, 10240 MiB, 56, 309.81 W
