timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/12/18 20:18:04.319, NVIDIA GeForce RTX 3080, 99 %, 84 %, 3065 MiB, 10240 MiB, 54, 310.30 W
2025/12/18 20:18:05.319, NVIDIA GeForce RTX 3080, 98 %, 85 %, 3067 MiB, 10240 MiB, 54, 312.05 W
2025/12/18 20:18:06.320, NVIDIA GeForce RTX 3080, 99 %, 84 %, 3066 MiB, 10240 MiB, 54, 312.35 W
2025/12/18 20:18:07.320, NVIDIA GeForce RTX 3080, 99 %, 85 %, 3057 MiB, 10240 MiB, 55, 310.86 W
2025/12/18 20:18:08.320, NVIDIA GeForce RTX 3080, 99 %, 84 %, 3048 MiB, 10240 MiB, 55, 310.69 W
2025/12/18 20:18:09.320, NVIDIA GeForce RTX 3080, 98 %, 84 %, 3051 MiB, 10240 MiB, 56, 311.31 W
2025/12/18 20:18:10.320, NVIDIA GeForce RTX 3080, 98 %, 84 %, 3052 MiB, 10240 MiB, 56, 310.70 W
2025/12/18 20:18:11.320, NVIDIA GeForce RTX 3080, 98 %, 82 %, 3041 MiB, 10240 MiB, 57, 311.72 W
2025/12/18 20:18:12.320, NVIDIA GeForce RTX 3080, 98 %, 83 %, 3027 MiB, 10240 MiB, 57, 310.16 W
2025/12/18 20:18:13.321, NVIDIA GeForce RTX 3080, 98 %, 82 %, 3018 MiB, 10240 MiB, 57, 312.21 W
2025/12/18 20:18:14.321, NVIDIA GeForce RTX 3080, 99 %, 83 %, 3013 MiB, 10240 MiB, 57, 312.02 W
2025/12/18 20:18:15.321, NVIDIA GeForce RTX 3080, 97 %, 83 %, 3004 MiB, 10240 MiB, 58, 312.03 W
2025/12/18 20:18:16.321, NVIDIA GeForce RTX 3080, 99 %, 86 %, 3004 MiB, 10240 MiB, 58, 313.59 W
2025/12/18 20:18:17.321, NVIDIA GeForce RTX 3080, 98 %, 85 %, 2994 MiB, 10240 MiB, 59, 313.22 W
2025/12/18 20:18:18.321, NVIDIA GeForce RTX 3080, 99 %, 89 %, 2994 MiB, 10240 MiB, 59, 313.50 W
2025/12/18 20:18:19.322, NVIDIA GeForce RTX 3080, 98 %, 87 %, 2994 MiB, 10240 MiB, 59, 312.35 W
2025/12/18 20:18:20.322, NVIDIA GeForce RTX 3080, 99 %, 91 %, 2994 MiB, 10240 MiB, 60, 314.28 W
2025/12/18 20:18:21.322, NVIDIA GeForce RTX 3080, 98 %, 88 %, 2994 MiB, 10240 MiB, 60, 312.99 W
2025/12/18 20:18:22.322, NVIDIA GeForce RTX 3080, 99 %, 85 %, 2994 MiB, 10240 MiB, 60, 311.73 W
2025/12/18 20:18:23.322, NVIDIA GeForce RTX 3080, 99 %, 85 %, 2994 MiB, 10240 MiB, 60, 313.09 W
2025/12/18 20:18:24.322, NVIDIA GeForce RTX 3080, 98 %, 83 %, 2994 MiB, 10240 MiB, 61, 311.91 W
2025/12/18 20:18:25.322, NVIDIA GeForce RTX 3080, 98 %, 85 %, 2994 MiB, 10240 MiB, 61, 311.28 W
2025/12/18 20:18:26.323, NVIDIA GeForce RTX 3080, 98 %, 84 %, 2993 MiB, 10240 MiB, 61, 312.15 W
2025/12/18 20:18:27.323, NVIDIA GeForce RTX 3080, 98 %, 81 %, 2993 MiB, 10240 MiB, 61, 312.05 W
2025/12/18 20:18:28.323, NVIDIA GeForce RTX 3080, 98 %, 84 %, 2994 MiB, 10240 MiB, 62, 312.86 W
2025/12/18 20:18:29.323, NVIDIA GeForce RTX 3080, 98 %, 84 %, 2994 MiB, 10240 MiB, 62, 311.63 W
2025/12/18 20:18:30.323, NVIDIA GeForce RTX 3080, 99 %, 85 %, 3019 MiB, 10240 MiB, 62, 312.19 W
2025/12/18 20:18:31.323, NVIDIA GeForce RTX 3080, 98 %, 83 %, 3031 MiB, 10240 MiB, 62, 310.60 W
2025/12/18 20:18:32.323, NVIDIA GeForce RTX 3080, 98 %, 83 %, 3033 MiB, 10240 MiB, 63, 310.87 W
2025/12/18 20:18:33.324, NVIDIA GeForce RTX 3080, 99 %, 82 %, 3040 MiB, 10240 MiB, 63, 309.16 W
2025/12/18 20:18:34.324, NVIDIA GeForce RTX 3080, 98 %, 84 %, 3040 MiB, 10240 MiB, 63, 309.49 W
2025/12/18 20:18:35.324, NVIDIA GeForce RTX 3080, 98 %, 84 %, 3039 MiB, 10240 MiB, 63, 311.60 W
2025/12/18 20:18:36.324, NVIDIA GeForce RTX 3080, 98 %, 87 %, 3020 MiB, 10240 MiB, 64, 311.87 W
