timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2025/12/18 21:51:32.193, NVIDIA GeForce RTX 3080, 62 %, 38 %, 9820 MiB, 10240 MiB
2025/12/18 21:51:33.193, NVIDIA GeForce RTX 3080, 53 %, 19 %, 9820 MiB, 10240 MiB
2025/12/18 21:51:34.193, NVIDIA GeForce RTX 3080, 65 %, 41 %, 9820 MiB, 10240 MiB
2025/12/18 21:51:35.194, NVIDIA GeForce RTX 3080, 51 %, 18 %, 9820 MiB, 10240 MiB
2025/12/18 21:51:36.195, NVIDIA GeForce RTX 3080, 55 %, 35 %, 9820 MiB, 10240 MiB
2025/12/18 21:51:37.196, NVIDIA GeForce RTX 3080, 63 %, 41 %, 9820 MiB, 10240 MiB
2025/12/18 21:51:38.197, NVIDIA GeForce RTX 3080, 59 %, 35 %, 9826 MiB, 10240 MiB
2025/12/18 21:51:39.197, NVIDIA GeForce RTX 3080, 64 %, 46 %, 9828 MiB, 10240 MiB
2025/12/18 21:51:40.197, NVIDIA GeForce RTX 3080, 63 %, 33 %, 9820 MiB, 10240 MiB
2025/12/18 21:51:41.197, NVIDIA GeForce RTX 3080, 63 %, 38 %, 9820 MiB, 10240 MiB
2025/12/18 21:51:42.197, NVIDIA GeForce RTX 3080, 53 %, 19 %, 9819 MiB, 10240 MiB
2025/12/18 21:51:43.197, NVIDIA GeForce RTX 3080, 67 %, 35 %, 9819 MiB, 10240 MiB
2025/12/18 21:51:44.198, NVIDIA GeForce RTX 3080, 57 %, 27 %, 9819 MiB, 10240 MiB
2025/12/18 21:51:45.198, NVIDIA GeForce RTX 3080, 65 %, 41 %, 9819 MiB, 10240 MiB
2025/12/18 21:51:46.199, NVIDIA GeForce RTX 3080, 56 %, 19 %, 9819 MiB, 10240 MiB
2025/12/18 21:51:47.199, NVIDIA GeForce RTX 3080, 58 %, 26 %, 9819 MiB, 10240 MiB
2025/12/18 21:51:48.201, NVIDIA GeForce RTX 3080, 65 %, 36 %, 9810 MiB, 10240 MiB
2025/12/18 21:51:49.201, NVIDIA GeForce RTX 3080, 56 %, 19 %, 9806 MiB, 10240 MiB
2025/12/18 21:51:50.202, NVIDIA GeForce RTX 3080, 63 %, 30 %, 9799 MiB, 10240 MiB
