timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/12/18 16:30:10.743, NVIDIA GeForce RTX 3080, 0 %, 4 %, 4560 MiB, 10240 MiB, 34, 20.93 W
2025/12/18 16:30:11.883, NVIDIA GeForce RTX 3080, 3 %, 5 %, 4560 MiB, 10240 MiB, 34, 25.85 W
2025/12/18 16:30:13.506, NVIDIA GeForce RTX 3080, 0 %, 3 %, 4560 MiB, 10240 MiB, 34, 19.67 W
2025/12/18 16:30:16.609, NVIDIA GeForce RTX 3080, 0 %, 0 %, 4560 MiB, 10240 MiB, 36, 55.75 W
2025/12/18 16:30:19.074, NVIDIA GeForce RTX 3080, 0 %, 0 %, 4560 MiB, 10240 MiB, 37, 85.41 W
2025/12/18 16:30:20.162, NVIDIA GeForce RTX 3080, 0 %, 0 %, 4560 MiB, 10240 MiB, 37, 85.47 W
2025/12/18 16:30:21.281, NVIDIA GeForce RTX 3080, 0 %, 0 %, 4560 MiB, 10240 MiB, 37, 85.43 W
2025/12/18 16:30:22.487, NVIDIA GeForce RTX 3080, 0 %, 0 %, 4560 MiB, 10240 MiB, 37, 85.44 W
2025/12/18 16:30:23.697, NVIDIA GeForce RTX 3080, 0 %, 0 %, 4560 MiB, 10240 MiB, 37, 85.56 W
2025/12/18 16:30:24.860, NVIDIA GeForce RTX 3080, 0 %, 0 %, 4560 MiB, 10240 MiB, 37, 85.55 W
2025/12/18 16:30:25.955, NVIDIA GeForce RTX 3080, 0 %, 0 %, 4560 MiB, 10240 MiB, 37, 85.64 W
2025/12/18 16:30:27.100, NVIDIA GeForce RTX 3080, 0 %, 0 %, 4560 MiB, 10240 MiB, 38, 85.65 W
2025/12/18 16:30:28.179, NVIDIA GeForce RTX 3080, 0 %, 0 %, 4560 MiB, 10240 MiB, 38, 85.75 W
2025/12/18 16:30:29.262, NVIDIA GeForce RTX 3080, 0 %, 0 %, 4560 MiB, 10240 MiB, 38, 85.95 W
2025/12/18 16:30:30.263, NVIDIA GeForce RTX 3080, 97 %, 63 %, 4564 MiB, 10240 MiB, 43, 132.42 W
2025/12/18 16:30:31.263, NVIDIA GeForce RTX 3080, 98 %, 70 %, 4567 MiB, 10240 MiB, 45, 278.06 W
2025/12/18 16:30:32.263, NVIDIA GeForce RTX 3080, 98 %, 70 %, 4565 MiB, 10240 MiB, 46, 281.97 W
2025/12/18 16:30:33.263, NVIDIA GeForce RTX 3080, 98 %, 70 %, 4565 MiB, 10240 MiB, 47, 283.22 W
2025/12/18 16:30:34.263, NVIDIA GeForce RTX 3080, 98 %, 70 %, 4565 MiB, 10240 MiB, 47, 281.98 W
2025/12/18 16:30:35.263, NVIDIA GeForce RTX 3080, 98 %, 70 %, 4553 MiB, 10240 MiB, 48, 282.93 W
2025/12/18 16:30:36.264, NVIDIA GeForce RTX 3080, 89 %, 63 %, 4553 MiB, 10240 MiB, 49, 281.45 W
2025/12/18 16:30:37.264, NVIDIA GeForce RTX 3080, 98 %, 70 %, 4553 MiB, 10240 MiB, 49, 281.51 W
2025/12/18 16:30:38.264, NVIDIA GeForce RTX 3080, 98 %, 69 %, 5365 MiB, 10240 MiB, 50, 282.66 W
2025/12/18 16:30:39.264, NVIDIA GeForce RTX 3080, 100 %, 98 %, 5351 MiB, 10240 MiB, 51, 306.94 W
2025/12/18 16:30:40.264, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5350 MiB, 10240 MiB, 52, 317.91 W
2025/12/18 16:30:41.264, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5352 MiB, 10240 MiB, 52, 319.09 W
2025/12/18 16:30:42.264, NVIDIA GeForce RTX 3080, 100 %, 99 %, 5353 MiB, 10240 MiB, 53, 317.62 W
2025/12/18 16:30:43.265, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5376 MiB, 10240 MiB, 53, 318.55 W
2025/12/18 16:30:44.265, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5376 MiB, 10240 MiB, 53, 318.76 W
2025/12/18 16:30:45.265, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5376 MiB, 10240 MiB, 54, 318.56 W
2025/12/18 16:30:46.265, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5376 MiB, 10240 MiB, 54, 318.44 W
2025/12/18 16:30:47.265, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5376 MiB, 10240 MiB, 55, 318.42 W
2025/12/18 16:30:48.265, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5377 MiB, 10240 MiB, 55, 318.67 W
2025/12/18 16:30:49.265, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5366 MiB, 10240 MiB, 56, 318.85 W
2025/12/18 16:30:50.266, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5389 MiB, 10240 MiB, 56, 318.44 W
2025/12/18 16:30:51.266, NVIDIA GeForce RTX 3080, 100 %, 99 %, 5415 MiB, 10240 MiB, 57, 317.67 W
2025/12/18 16:30:52.266, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5402 MiB, 10240 MiB, 57, 318.22 W
2025/12/18 16:30:53.266, NVIDIA GeForce RTX 3080, 100 %, 99 %, 5408 MiB, 10240 MiB, 58, 318.46 W
2025/12/18 16:30:54.266, NVIDIA GeForce RTX 3080, 100 %, 98 %, 5381 MiB, 10240 MiB, 58, 318.64 W
2025/12/18 16:30:55.266, NVIDIA GeForce RTX 3080, 100 %, 98 %, 5379 MiB, 10240 MiB, 59, 318.48 W
2025/12/18 16:30:56.266, NVIDIA GeForce RTX 3080, 100 %, 97 %, 5368 MiB, 10240 MiB, 59, 318.41 W
