%Cpu:  4.3 us,  2.8 sy,  0.0 ni, 91.0 id,  1.9 wa,  0.0 hi,  0.0 si,  0.0 st 
  72350 eunji     20   0  250688  53140  24516 D  63.6   0.2   0:00.12 python
%Cpu:  2.4 us,  1.3 sy,  0.0 ni, 94.7 id,  1.6 wa,  0.0 hi,  0.0 si,  0.0 st 
  72350 eunji     20   0 8321368 322136 183556 R  68.3   1.0   0:00.81 python
%Cpu:  4.3 us,  7.0 sy,  0.0 ni, 87.7 id,  0.9 wa,  0.0 hi,  0.0 si,  0.0 st 
  72350 eunji     20   0   10.0g 423508 235940 R 217.8   1.3   0:03.01 python
%Cpu:  1.8 us,  3.1 sy,  0.0 ni, 94.1 id,  0.9 wa,  0.0 hi,  0.0 si,  0.0 st 
  72350 eunji     20   0   11.2g   1.6g 236748 R  80.2   5.1   0:03.82 python
%Cpu:  4.5 us,  0.8 sy,  0.0 ni, 94.4 id,  0.3 wa,  0.0 hi,  0.0 si,  0.0 st 
  72350 eunji     20   0   11.8g   2.2g 236748 R 100.0   7.1   0:04.83 python
%Cpu:  4.6 us,  0.8 sy,  0.0 ni, 94.6 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
  72350 eunji     20   0   12.4g   2.8g 236748 R  99.0   9.0   0:05.83 python
%Cpu:  4.4 us,  1.1 sy,  0.0 ni, 94.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
  72350 eunji     20   0   11.7g   2.1g 236748 R  98.0   6.8   0:06.81 python
%Cpu:  3.6 us,  1.6 sy,  0.0 ni, 93.8 id,  0.9 wa,  0.0 hi,  0.0 si,  0.0 st 
  72350 eunji     20   0   13.0g   2.8g 477928 R  80.2   8.9   0:07.62 python
%Cpu:  3.0 us,  1.6 sy,  0.0 ni, 94.7 id,  0.7 wa,  0.0 hi,  0.0 si,  0.0 st 
  72350 eunji     20   0   15.0g   4.0g 665144 R  85.1  12.7   0:08.48 python
%Cpu:  2.1 us,  2.8 sy,  0.0 ni, 94.6 id,  0.5 wa,  0.0 hi,  0.0 si,  0.0 st 
  72350 eunji     20   0   17.5g   5.8g 811628 R  91.1  18.5   0:09.40 python
%Cpu:  4.4 us,  1.0 sy,  0.0 ni, 94.5 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st 
  72350 eunji     20   0   18.1g   6.4g 811628 R 100.0  20.4   0:10.40 python
%Cpu:  4.6 us,  0.9 sy,  0.0 ni, 94.4 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st 
  72350 eunji     20   0   18.7g   7.0g 811628 R 100.0  22.4   0:11.41 python
%Cpu:  4.6 us,  0.8 sy,  0.0 ni, 94.5 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st 
  72350 eunji     20   0   18.1g   6.4g 811628 R 100.0  20.5   0:12.42 python
%Cpu:  1.8 us,  0.3 sy,  0.0 ni, 97.8 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st 
  72350 eunji     20   0   18.1g   6.4g 811920 S  27.7  20.5   0:12.70 python
%Cpu:  0.3 us,  0.3 sy,  0.0 ni, 99.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
  72350 eunji     20   0   18.1g   6.4g 811920 S   0.0  20.5   0:12.70 python
%Cpu:  0.4 us,  0.5 sy,  0.0 ni, 99.0 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st 
  72350 eunji     20   0   18.1g   6.4g 811920 S   1.0  20.5   0:12.71 python
%Cpu:  2.0 us,  2.0 sy,  0.0 ni, 95.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
  72350 eunji     20   0   19.2g   7.5g 811920 R  72.3  24.1   0:13.44 python
%Cpu:  5.1 us,  0.1 sy,  0.0 ni, 94.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
  72350 eunji     20   0   19.2g   7.5g 811920 R 101.0  24.1   0:14.45 python
%Cpu:  5.1 us,  0.3 sy,  0.0 ni, 94.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
  72350 eunji     20   0   19.4g   7.7g 811920 R 101.0  24.7   0:15.47 python
%Cpu:  1.3 us,  0.4 sy,  0.0 ni, 98.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
  72350 eunji     20   0   18.4g   6.7g 811920 S  27.7  21.4   0:15.75 python
%Cpu:  0.3 us,  0.4 sy,  0.0 ni, 99.2 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st 
  72350 eunji     20   0   18.4g   6.7g 811920 S   0.0  21.4   0:15.75 python
%Cpu:  1.7 us,  3.1 sy,  0.0 ni, 95.2 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
  72350 eunji     20   0   18.6g   6.9g 811976 S  51.5  22.2   0:16.27 python
  72735 eunji     20   0 3658332 113632  70320 R  23.8   0.3   0:00.24 python
  72734 eunji     20   0   14064  11232   5704 S   9.9   0.0   0:00.10 python
%Cpu:  4.9 us,  7.2 sy,  0.0 ni, 87.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
  72735 eunji     20   0   10.0g 557836 235304 R 233.7   1.7   0:02.60 python
  72350 eunji     20   0   18.6g   6.9g 811976 S   2.0  22.2   0:16.29 python
  72734 eunji     20   0   14064  11232   5704 S   0.0   0.0   0:00.10 python
%Cpu:  3.3 us,  2.6 sy,  0.0 ni, 94.0 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st 
  72797 eunji     20   0 8301716 304628 185740 R  52.5   0.9   0:00.53 python
  72350 eunji     20   0   18.6g   6.9g 811976 S  44.6  22.2   0:16.74 python
  72735 eunji     20   0   10.1g 687332 235456 S  11.9   2.1   0:02.72 python
  72734 eunji     20   0   14064  11232   5704 S   0.0   0.0   0:00.10 python
%Cpu:  4.8 us,  8.0 sy,  0.0 ni, 87.2 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
  72797 eunji     20   0   10.1g 687408 235536 S 224.8   2.1   0:02.80 python
  72350 eunji     20   0   18.7g   6.9g 811976 R  23.8  22.0   0:16.98 python
  72734 eunji     20   0   14064  11232   5704 S   0.0   0.0   0:00.10 python
  72735 eunji     20   0   10.1g 687332 235456 S   0.0   2.1   0:02.72 python
%Cpu:  3.5 us,  2.1 sy,  0.0 ni, 94.3 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st 
  72898 eunji     20   0 8331016 330028 188640 R  79.0   1.0   0:00.79 python
  72350 eunji     20   0   18.6g   6.9g 811976 S  23.0  22.2   0:17.21 python
  72734 eunji     20   0   14064  11232   5704 S   0.0   0.0   0:00.10 python
